전라남도 날씨 <http://geozoonee.tistory.com/830>,
,
2016,
01/01 구름많음,·최저기온 : -3.3℃·최고기온 : 4℃·일강수량 : 0mm·일적설량 : 0cm
01/02 흐림,·최저기온 : 1℃·최고기온 : 9.5℃·일강수량 : 0mm·일적설량 : 0cm
01/03 구름많음,·최저기온 : 5.1℃·최고기온 : 9.4℃·일강수량 : 0mm·일적설량 : 0cm
01/04 구름조금,·최저기온 : -2.5℃·최고기온 : 5.3℃·일강수량 : 0mm·일적설량 : 0cm
01/05 구름조금,·최저기온 : -4.8℃·최고기온 : 1.5℃·일강수량 : 0mm·일적설량 : 0cm
01/06 구름많음,·최저기온 : -4.9℃·최고기온 : 1.7℃·일강수량 : 0mm·일적설량 : 0cm
01/07 맑음,·최저기온 : -5.9℃·최고기온 : 1.4℃·일강수량 : 0mm·일적설량 : 0cm
01/08 맑음,·최저기온 : -6.9℃·최고기온 : 1℃·일강수량 : 0mm·일적설량 : 0cm
01/09 구름조금,·최저기온 : -6.2℃·최고기온 : 2.4℃·일강수량 : 0mm·일적설량 : 0cm
01/10 구름조금,·최저기온 : -2.7℃·최고기온 : 3.8℃·일강수량 : 0mm·일적설량 : 0cm
01/11 맑음,·최저기온 : -6.5℃·최고기온 : 0.9℃·일강수량 : 0mm·일적설량 : 0cm
01/12 맑음,·최저기온 : -9.1℃·최고기온 : 0.7℃·일강수량 : 0mm·일적설량 : 0cm
01/13 눈,·최저기온 : -8.2℃·최고기온 : 0.1℃·일강수량 : 0.4mm·일적설량 : 0.5cm
01/14 구름조금,·최저기온 : -8.4℃·최고기온 : 1.3℃·일강수량 : 0mm·일적설량 : 0cm
01/15 구름조금,·최저기온 : -4.3℃·최고기온 : 5.3℃·일강수량 : 0mm·일적설량 : 0cm
01/16 비,·최저기온 : -2.1℃·최고기온 : 2.8℃·일강수량 : 0.1mm·일적설량 : 0cm
01/17 구름많음,·최저기온 : -0.7℃·최고기온 : 5.4℃·일강수량 : 0mm·일적설량 : 0cm
01/18 눈,·최저기온 : -12.3℃·최고기온 : 0.4℃·일강수량 : 0.2mm·일적설량 : 0.4cm
01/19 맑음,·최저기온 : -15.1℃·최고기온 : -8.9℃·일강수량 : 0mm·일적설량 : 0cm
01/20 맑음,·최저기온 : -14.5℃·최고기온 : -5.2℃·일강수량 : 0mm·일적설량 : 0cm
01/21 구름조금,·최저기온 : -10.2℃·최고기온 : -2.3℃·일강수량 : 0mm·일적설량 : 0cm
01/22 구름조금,·최저기온 : -11.1℃·최고기온 : -3.8℃·일강수량 : 0mm·일적설량 : 0cm
01/23 구름조금,·최저기온 : -16℃·최고기온 : -8.3℃·일강수량 : 0mm·일적설량 : 0cm
01/24 맑음,·최저기온 : -18℃·최고기온 : -10.5℃·일강수량 : 0mm·일적설량 : 0cm
01/25 맑음,·최저기온 : -14.3℃·최고기온 : -3.4℃·일강수량 : 0mm·일적설량 : 0cm
01/26 눈,·최저기온 : -8.5℃·최고기온 : 1.7℃·일강수량 : 0.3mm·일적설량 : 0.5cm
01/27 맑음,·최저기온 : -4.7℃·최고기온 : 4.3℃·일강수량 : 0mm·일적설량 : 0cm
01/28 구름많음,·최저기온 : -5.6℃·최고기온 : 3.5℃·일강수량 : 0mm·일적설량 : 0cm
01/29 구름많음,·최저기온 : -1.4℃·최고기온 : 5.4℃·일강수량 : 0mm·일적설량 : 0cm
01/30 구름조금,·최저기온 : -2.5℃·최고기온 : 5.2℃·일강수량 : 0mm·일적설량 : 0cm
01/31 구름조금,·최저기온 : -6.5℃·최고기온 : 0.3℃·일강수량 : 0mm·일적설량 : 0cm
,
02/01 맑음,·최저기온 : -9.1℃·최고기온 : -1℃·일강수량 : 0mm·일적설량 : 0cm02/02 맑음
,·최저기온 : -10℃·최고기온 : 0.9℃·일강수량 : 0mm·일적설량 : 0cm02/03 맑음
,·최저기온 : -8.3℃·최고기온 : 4℃·일강수량 : 0mm·일적설량 : 0cm02/04 구름조금
,·최저기온 : -4℃·최고기온 : 3.9℃·일강수량 : 0mm·일적설량 : 0cm02/05 맑음
,·최저기온 : -6.8℃·최고기온 : 3.4℃·일강수량 : 0mm·일적설량 : 0cm02/06 맑음
,·최저기온 : -6.2℃·최고기온 : 2℃·일강수량 : 0mm·일적설량 : 0cm02/07 맑음
,·최저기온 : -8.3℃·최고기온 : 3.5℃·일강수량 : 0mm·일적설량 : 0cm02/08 구름많음
,·최저기온 : -4.3℃·최고기온 : 5.5℃·일강수량 : 0mm·일적설량 : 0cm02/09 맑음
,·최저기온 : -3.9℃·최고기온 : 5.5℃·일강수량 : 0mm·일적설량 : 0cm02/10 맑음
,·최저기온 : -4.3℃·최고기온 : 10.7℃·일강수량 : 0mm·일적설량 : 0cm02/11 비
,·최저기온 : 1.6℃·최고기온 : 13.5℃·일강수량 : 0.1mm·일적설량 : 0cm02/12 비
,·최저기온 : 6.8℃·최고기온 : 10℃·일강수량 : 18mm·일적설량 : 0cm02/13 비
,·최저기온 : 5.8℃·최고기온 : 14.4℃·일강수량 : 21mm·일적설량 : 0cm02/14 비
,·최저기온 : -6.8℃·최고기온 : 5.8℃·일강수량 : 2.5mm·일적설량 : 0cm02/15 맑음
,·최저기온 : -10℃·최고기온 : -2.3℃·일강수량 : 0mm·일적설량 : 0cm02/16 눈
,·최저기온 : -6.7℃·최고기온 : 1.1℃·일강수량 : 0.8mm·일적설량 : 1.2cm02/17 맑음
,·최저기온 : -5.2℃·최고기온 : 5.4℃·일강수량 : 0mm·일적설량 : 0cm02/18 구름조금
